CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;EDAD_COCHE;COSTE_VENTA;km_anno;Mas_1_coche;Revisiones;Edad Cliente;Tiempo
CLI50942;I;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Murcia;SI;NO;SI;NA;NO DATA;No;NO;1.39;1903;0;0;0;32;0
CLI22108;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;9.01;512;5320;0;4;44;0
CLI14850;B;TIPO1;FUEL 1;Media;M;Contado;SOLTERO;F;Empresa;Las Palmas;NO;NO;NO;Medio;SI;No;NO;3.24;1750;10008;0;2;51;0
CLI57170;I;TIPO7;FUEL 1;Alta;A;Contado;CASADO;M;Empresa;Gerona;NO;NO;NO;NA;NO DATA;No;NO;1.37;1829;0;0;1;46;0
CLI25122;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Funcionario;Valencia;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;8.3;1538;12706;0;8;45;0
CLI54163;I;TIPO7;FUEL 1;Alta;M;Financiera Marca;CASADO;M;Empresa;Zaragoza;SI;NO;SI;NA;NO DATA;No;NO;1.42;1829;0;0;0;28;0
CLI43002;I;TIPO7;FUEL 1;Alta;M;Financiera Marca;CASADO;M;Empresa;Murcia;SI;NO;NO;NA;SI;No;NO;3.32;2727;21364;0;3;50;0
CLI49425;I;TIPO7;FUEL 2;Media;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;2;5026;0;1;1;43;7
CLI55839;I;TIPO7;FUEL 2;Media;A;Contado;CASADO;F;Empresa;Gerona;SI;NO;NO;Alto;SI;No;NO;2.4;3571;20291;0;2;44;0
CLI2894;B;TIPO1;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Sevilla;SI;NO;NO;Medio;NO DATA;No;NO;2.01;2464;0;0;1;22;0
CLI50573;I;TIPO7;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Gerona;NO;NO;NO;NA;NO DATA;No;NO;1.37;1903;0;0;0;41;0
CLI23420;A;TIPO1;FUEL 2;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Navarra;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;9.43;506;28476;0;9;53;0
CLI56410;I;TIPO7;FUEL 2;Alta;A;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;SI;No;NO;2.79;2727;6410;0;2;59;0
CLI23711;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Funcionario;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;9.21;0;11533;0;6;45;0
CLI52853;I;TIPO7;FUEL 1;Alta;M;Financiera Banco;CASADO;M;Empresa;Barcelona;SI;NO;NO;Medio;SI;No;NO;2.31;3571;5989;1;1;57;6
CLI1690;B;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Almeria;NO;NO;NO;Alto;SI;Averia grave;NO;2.4;1654;15798;1;2;61;6
CLI1006;A;TIPO1;FUEL 1;Baja;A;Financiera Marca;SOLTERO;F;Empresa;Leon;SI;NO;NO;Alto;NO DATA;No;NO;2.11;2015;0;1;1;25;4
CLI37937;D;TIPO1;FUEL 1;Media;M;Contado;CASADO;F;Empresa;Madrid;NO;SI;NO;NA;NO DATA;No;NO;6.51;4451;10315;0;7;48;0
CLI33551;D;TIPO6;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Zaragoza;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;9.26;0;20112;0;7;53;0
