PRODUCTO;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente;Mas_1_coche_Pred
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Asturias;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;3239;0;2;18;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Toledo;NO;NO;NO;Medio-Bajo;SI;No;NO;1541;7187;2;53;0
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Lerida;NO;NO;NO;Medio;NO DATA;No;NO;1541;0;4;21;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Funcionario;Santa Cruz de Tenerife;SI;NO;SI;Alto;NO DATA;No;NO;2036;0;3;21;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Asturias;SI;NO;NO;Medio;SI;Averia leve;NO;2257;11293;2;56;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;No;SI;2257;0;1;24;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Pontevedra;SI;NO;NO;Medio-Bajo;SI;No;NO;1747;754;2;51;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Asturias;NO;NO;NO;Alto;SI;No;NO;1541;12177;1;44;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1541;0;1;21;0
A;FUEL 1;Baja;M;Contado;0;0;Empresa;Toledo;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;1541;0;1;18;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Castellon;SI;NO;NO;Alto;SI;Averia muy grave;SI;3239;10806;1;46;0
A;FUEL 1;Baja;M;Contado;0;1;Empresa;Las Palmas;NO;NO;NO;Medio;NO DATA;Averia leve;NO;3400;0;1;31;0
A;FUEL 1;Baja;M;Otros;1;0;Empresa;La Rioja;NO;NO;NO;Medio-Bajo;SI;No;NO;2905;6684;2;45;1
A;FUEL 1;Baja;M;Otros;1;0;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;1541;0;1;21;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia leve;NO;5286;15105;1;49;1
A;FUEL 1;Baja;M;Otros;1;0;Empresa;Tarragona;NO;NO;NO;;NO DATA;Averia muy grave;SI;2905;0;2;26;1
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Cordoba;NO;NO;SI;Medio-Bajo;NO DATA;Averia leve;NO;2429;0;1;29;0
A;FUEL 1;Baja;M;Otros;0;1;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia grave;NO;5286;11844;2;60;1
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Badajoz;SI;NO;NO;Alto;NO DATA;No;NO;2495;0;1;27;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Pontevedra;SI;NO;NO;Medio;SI;Averia muy grave;SI;5854;5865;2;60;0
A;FUEL 1;Baja;M;Otros;0;0;Empresa;Valencia;NO;NO;NO;Medio-Bajo;SI;No;NO;2905;24347;1;53;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Alicante;SI;NO;NO;Medio;NO DATA;Averia grave;NO;2905;0;1;23;1
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Cantabria;NO;NO;NO;Medio;NO DATA;No;NO;1781;0;0;29;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Baleares;NO;NO;NO;Medio;NO DATA;No;NO;2905;0;2;26;1
A;FUEL 1;Baja;M;Contado;0;1;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;2905;0;2;30;0
A;FUEL 1;Baja;M;Contado;0;1;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;5286;0;2;29;1
A;FUEL 1;Baja;M;Contado;0;0;Empresa;Las Palmas;NO;NO;NO;;NO DATA;No;NO;3400;0;2;31;1
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia grave;NO;6358;4186;2;58;1
A;FUEL 1;Baja;M;Contado;1;0;Funcionario;Leon;NO;NO;NO;Alto;SI;No;NO;2905;6207;2;60;0
