CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;EDAD_COCHE;COSTE_VENTA;km_anno;Mas_1_coche;Revisiones;Edad Cliente;Tiempo
CLI2;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Toledo;NO;NO;NO;Medio-Bajo;SI;No;NO;2.45;1376;7187;0;2;53;0
CLI4;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia muy grave;SI;2.43;2015;7256;1;4;48;5
CLI6;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Asturias;SI;NO;NO;Medio;SI;Averia leve;NO;2.43;2015;11293;0;2;56;0
CLI8;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Pontevedra;SI;NO;NO;Medio-Bajo;SI;No;NO;2.44;1560;754;0;2;51;0
CLI9;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Asturias;NO;NO;NO;Alto;SI;No;NO;2.43;1376;12177;1;1;44;5
CLI13;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Funcionario;Barcelona;SI;NO;NO;Alto;SI;Averia leve;NO;2.52;2892;7918;0;1;52;0
CLI14;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Pontevedra;SI;NO;NO;Alto;SI;Averia leve;NO;2.36;2892;17967;1;1;55;8
CLI15;A;TIPO1;FUEL 1;Baja;M;Contado;OTROS;F;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia leve;NO;2.36;2892;14527;1;2;27;7
CLI18;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Guipuzcua;SI;NO;NO;Alto;SI;Averia muy grave;SI;2.51;2015;7123;0;2;51;0
CLI19;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Barcelona;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.42;1376;11544;0;2;54;0
CLI20;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Valladolid;SI;NO;NO;Alto;SI;Averia muy grave;SI;2.36;2015;4535;1;1;38;4
